premise_id,created_date,premise_house_num,premise_street,premise_house_supp,premise_city,premise_zip,premise_region
PREM-68729415,2016-05-06,8756,Creekside Court,,South Tina,52764,NY
PREM-52498173,2016-05-06,22578,Snowberry Lane,Grove,West Mikebury,76839,NY
PREM-39061728,2016-05-06,9110,Bluebird Way,,New Katherinemouth,40596,NY
PREM-74820519,2016-05-06,10139,Springwater Drive,,West Ashleyside,29651,NY
PREM-85691324,2016-05-06,7314,Wildflower Road,Springs,New Kendrachester,67328,NY
PREM-21394057,2016-05-06,18618,Cottonwood Lane,Villages,New Matthew,89470,NY
PREM-46958032,2016-05-06,24,Sunnybrook Drive,Meadows,New Julieton,14598,NY
PREM-58213490,2016-05-06,295,Hickory Ridge Road,Mills,Jamesbury,50176,NY
PREM-31749862,2016-05-06,642,Pleasant Valley Drive,,West Donald,78326,NY
PREM-94062718,2016-05-06,681,Morningstar Lane,Mission,Courtneymouth,36249,NY
PREM-10538279,2016-05-06,60627,Greenbriar Court,Neck,New Ravenfurt,69750,NY
PREM-73601482,2016-05-06,8754,Misty Hollow Drive,Ports,Gonzalezmouth,93012,NY
PREM-49178520,2016-05-06,94599,Magnolia Circle,Way,Hardyfort,51870,NY
PREM-62830941,2016-05-06,853,Aspen View Drive,Cove,New Stacy,76481,NY
PREM-37482096,2016-05-06,1556,Stonegate Road,,Jeffshire,40958,NY
PREM-81942750,2016-05-06,1957,Harvest Lane,Mountains,Tylerborough,28460,NY
PREM-20395816,2016-05-06,1556,Shady Grove Street,Rapid,Churchmouth,67514,NY
PREM-56742039,2016-05-06,1528,Rolling Hills Drive,Isle,Davidside,89246,NY
PREM-39271864,2016-05-06,13936,Windmill Court,Causeway,Brooksland,14072,NY
PREM-74105829,2016-05-06,69814,Clearwater Drive,Union,Melindaburgh,59907,NY
PREM-60847231,2016-05-06,107,Fox Run Road,,Shawnfort,82153,NY
PREM-21530948,2016-05-06,61490,Silver Creek Lane,Glens,North Samantha,38709,NY
PREM-89361742,2016-05-06,6376,Amberwood Street,Fork,Port Ericafort,74691,NY
PREM-43029857,2016-05-06,965,Briarwood Drive,Groves,North Carolyn,91358,NY
PREM-57649108,2016-05-06,64485,Sandstone Avenue,Forge,West Mark,41096,NY
PREM-30928416,2016-05-06,2143,Juniper Road,Fort,North Jenniferberg,27948,NY
PREM-65472103,2016-05-06,18778,Sycamore Street,,Davidburgh,64807,NY
PREM-19248576,2016-05-06,613,Rosewood Lane,,Lopezland,86794,NY
PREM-87503921,2016-05-06,43152,Crimson Leaf Drive,Stream,West Samanthaburgh,13079,NY
PREM-40861735,2016-05-06,1244,Riverbend Road,Fields,Lake Lauramouth,50738,NY
PREM-62319847,2016-05-06,8340,Bayshore Avenue,,East Matthewport,78265,NY
PREM-34157029,2016-05-06,2116,Mossy Oak Lane,,Port Jenniferbury,36194,NY
PREM-79042618,2016-05-06,236,Goldenleaf Drive,,Williamsside,69031,NY
PREM-15693824,2016-05-06,185,Pine Canyon Road,Keys,South Matthewside,93421,NY
PREM-48261395,2016-05-06,54439,Sapphire Ridge Drive,,Marquezberg,52078,NY
PREM-90573812,2016-05-06,10,Willow Creek Lane,Corners,Vickistad,76935,NY
PREM-31754908,2016-05-06,71907,Ironwood Street,Turnpike,North Jamesshire,40287,NY
PREM-68214093,2016-05-06,107,Stonemill Road,Land,Lloydborough,29861,NY
PREM-57420936,2016-05-06,66380,Eagle Ridge Drive,Path,Port Brianna,67195,NY
PREM-21387954,2016-05-06,337,Hunters Trail Lane,Flat,Rebeccahaven,89647,NY
PREM-49821637,2016-05-06,164,Summerfield Drive,Underpass,South Cherylview,14927,NY
PREM-63109425,2016-05-06,7297,Northgate Road,,Michelleville,59360,NY
PREM-37058149,2016-05-06,52698,Southridge Drive,,Michaeltown,82931,NY
PREM-85920413,2016-05-06,42325,Eastwood Lane,Spurs,Jodishire,37495,NY
PREM-20479568,2016-05-06,995,Westhaven Drive,Crossing,South Laura,75280,NY
PREM-76813042,2016-05-06,84372,Mountain View Road,Corners,Timothyview,91526,NY
PREM-43509217,2016-05-06,3472,Crown Point Drive,Coves,Martinstad,41860,NY
PREM-59271804,2016-05-06,96541,Hidden Valley Lane,Square,Morganfort,27359,NY
PREM-31046829,2016-05-06,456,Maple Bend Street,Glen,Kennethport,64572,NY
PREM-67423981,2016-05-06,1598,Woodland Ridge Drive,Ville,Jessicaport,86294,NY
PREM-14852730,2016-05-06,5925,Dove Creek Road,Plain,Huangside,13548,NY
PREM-80731629,2016-05-06,1990,Fernwood Lane,,Kellyfort,50397,NY
PREM-26309457,2016-05-06,290,Orchard Hill Drive,Way,Greerside,78912,NY
PREM-94075218,2016-05-06,1547,Lakeview Terrace,Skyway,New Erinport,36974,NY
PREM-51739402,2016-05-06,25990,Greenfield Drive,Ranch,Maryburgh,69285,NY
PREM-38260147,2016-05-06,750,Sunnyside Road,Landing,Lake Anthony,93706,NY
PREM-76984510,2016-05-06,74464,Crestwood Avenue,,Lake Josephstad,52603,NY
PREM-42903718,2016-05-06,1060,Shadowbrook Lane,Union,West Christopherberg,76394,NY
PREM-85621039,2016-05-06,984,Falling Waters Drive,Summit,South Tony,40813,NY
PREM-19347860,2016-05-06,674,Blue Ridge Road,,West Destinybury,28760,NY
PREM-60498127,2016-05-06,720,Wildwood Lane,,Robbinsshire,67841,NY
PREM-27594018,2016-05-06,80316,Cardinal Drive,Hills,Port Paul,89570,NY
PREM-93047156,2016-05-06,538,Pecan Grove Road,,Gonzalezport,14096,NY
PREM-14862579,2016-05-06,81496,Cedar Hollow Drive,,North Cristina,59648,NY
PREM-58231704,2016-05-06,14625,Woodlawn Avenue,,Ryanburgh,82369,NY
PREM-40196825,2016-05-06,940,Broadview Road,Grove,West Cody,38605,NY
PREM-73604281,2016-05-06,719,Autumn View Drive,Ports,Choiside,74150,NY
PREM-25938410,2016-05-06,51097,Silver Oak Lane,Hollow,New Edwinshire,91820,NY
PREM-68915742,2016-05-06,92764,Sunrise Valley Drive,Locks,Port Pamela,41503,NY
PREM-31497085,2016-05-06,5548,Meadowlark Road,,Jacquelineton,27845,NY
PREM-90527136,2016-05-06,802,Briar Patch Lane,Key,North Mark,64930,NY
PREM-47263180,2016-05-06,945,Fox Hollow Drive,Mission,West Robert,86721,NY
PREM-15089342,2016-05-06,171,Stonebridge Street,,Myerstown,13492,NY
PREM-68750291,2016-05-06,4075,Lone Pine Road,Underpass,West Sarah,51263,NY
PREM-23841705,2016-05-06,64703,Gentle Brook Lane,,South Andrew,79380,NY
PREM-84190562,2016-05-06,26158,Brookhaven Drive,,East Rebecca,35247,NY
PREM-39624817,2016-05-06,641,Willow Trace Road,Brooks,Jasonfurt,68139,NY
PREM-75210384,2016-05-06,748,Cedar Creek Lane,Roads,North Aprilborough,93074,NY
PREM-41568927,2016-05-06,44700,Valley View Drive,,West Sandra,52491,NY
PREM-62319408,2016-05-06,17668,Sunbrook Court,Junction,West Nicholas,76905,NY
PREM-30147865,2016-05-06,634,Oak Meadow Lane,,Willisport,40768,NY
PREM-89025613,2016-05-06,55807,Hidden Creek Road,Union,Goodville,29183,NY
PREM-54781209,2016-05-06,7274,Falcon Ridge Drive,Lake,Matthewview,67502,NY
PREM-13296478,2016-05-06,5605,Crescent Hill Lane,Summit,Troyport,89154,NY
PREM-76943012,2016-05-06,9074,Ridgewood Drive,Gateway,Paulshire,14827,NY
PREM-40821597,2016-05-06,1644,Silver Maple Road,Cape,Williammouth,59862,NY
PREM-59308241,2016-05-06,52649,Hilltop Avenue,Unions,East Crystal,82471,NY
PREM-21476930,2016-05-06,124,Sapphire Lane,Fords,South Kenneth,37964,NY
PREM-68052719,2016-05-06,2436,Morning Mist Drive,,Port Richard,75148,NY
PREM-35149087,2016-05-06,70821,Cedar Ridge Road,,West Peter,91782,NY
PREM-97218406,2016-05-06,5545,River Park Drive,Turnpike,West Brenda,41698,NY
PREM-40617395,2016-05-06,9545,Wildflower Court,,Lewisview,27360,NY
PREM-83721049,2016-05-06,93615,Canyon View Lane,Prairie,Laneview,64631,NY
PREM-19508642,2016-05-06,14847,Snowberry Road,,Lake Susan,86205,NY
PREM-57432018,2016-05-06,58743,Brookfield Drive,,Michaelfort,13978,NY
PREM-68249105,2016-05-06,764,Vineyard Lane,Falls,Michaelville,50872,NY
PREM-32075498,2016-05-06,9807,Lighthouse Road,Grove,New Kevin,78216,NY
PREM-95142607,2016-05-06,768,Ocean Breeze Drive,,New Vincenttown,36085,NY
PREM-47890312,2016-05-06,98563,Harbor View Lane,,Scottview,69530,NY
PREM-63521809,2016-05-06,51473,Pelican Point Drive,Rest,Rossfort,93642,NY
PREM-24956173,2016-05-06,121,Driftwood Court,Rue,Lake Katherine,52896,NY
PREM-80714392,2016-05-06,831,Seaside Boulevard,,Claudialand,76103,NY
PREM-36290518,2016-05-06,94994,Sunset Bay Drive,,Port Randymouth,41287,NY
PREM-79421063,2016-05-06,4037,Coral Ridge Road,Via,West Mary,29856,NY
PREM-41597328,2016-05-06,7360,Palm Crest Lane,Drives,Gregview,67048,NY
PREM-62849103,2016-05-06,473,Tropical Breeze Drive,Meadows,Kennethmouth,89421,NY
PREM-30185247,2016-05-06,263,Mariner's Cove Road,,West Tarahaven,14256,NY
PREM-85694017,2016-05-06,1937,Harbor Lane,,South Brandonfurt,59781,NY
PREM-27301594,2016-05-06,738,Coral Reef Drive,Pines,Madisonshire,82145,NY
PREM-94162850,2016-05-06,38886,Seaview Avenue,Points,Melindaton,38371,NY
PREM-51730498,2016-05-06,52,Sandy Beach Road,,Amyfort,74521,NY
PREM-38421967,2016-05-06,307,Ocean Crest Drive,Skyway,Griffinburgh,91063,NY
PREM-76253041,2016-05-06,875,Windward Lane,,West Megan,41896,NY
PREM-42918507,2016-05-06,514,Sandpiper Road,,Paulaport,27618,NY
PREM-89564012,2016-05-06,36868,Coastal Ridge Drive,,North Adrianstad,63941,NY
PREM-13607258,2016-05-06,9183,Bluewater Boulevard,,West Patrick,85429,NY
PREM-60497531,2016-05-06,160,Dune Grass Lane,,Port Harold,13150,NY
PREM-28164907,2016-05-06,4125,Starfish Drive,,West Elizabeth,50368,NY
PREM-93740285,2016-05-06,783,Pelican Bay Road,,North Kristinaville,78964,NY
PREM-15208649,2016-05-06,941,Marina Point Drive,,New Marieburgh,36592,NY
PREM-57943128,2016-05-06,5425,Cliffside Lane,Wells,Christinafurt,69748,NY
PREM-40396712,2016-05-06,33738,Beachfront Drive,Trace,Port Amy,94018,NY
PREM-78612035,2016-05-06,99926,Gull Haven Road,Road,West Marybury,57362,NY
PREM-36289407,2016-05-06,98,Palm Grove Drive,Hill,West Matthewfurt,42819,NY
PREM-69501728,2016-05-06,4156,Surfside Boulevard,Cliff,Markchester,61047,NY
PREM-93124650,2016-05-06,54416,Coastline Drive,,South Matthew,89315,NY
PREM-52408319,2016-05-06,901,Bay Breeze Lane,Walk,Port Jenniferville,74186,NY
PREM-76859104,2016-05-06,7913,Sand Dune Road,Fork,Wareside,25039,NY
PREM-41237905,2016-05-06,510,Horizon View Lane,,West Matthew,16284,NY
PREM-29048673,2016-05-06,72602,Meridian Drive,,Guzmanfurt,70593,NY
PREM-67350218,2016-05-06,2975,Compass Point Lane,Path,Butlerstad,84620,NY
PREM-89417502,2016-05-06,3208,Anchorage Road,Park,Rodneyfurt,31907,NY
PREM-14582679,2016-05-06,98884,Portside Drive,Common,Goodwinhaven,58427,NY
PREM-59834201,2016-05-06,70380,Lighthouse Crest Lane,Oval,East Justinport,79651,NY
PREM-82194036,2016-05-06,663,Island View Road,,North Kyle,23490,NY
PREM-37951428,2016-05-06,2287,Shoreline Drive,Parks,East Melissa,67284,NY
PREM-75103649,2016-05-06,17324,Deepwater Lane,,Williamschester,90571,NY
PREM-91728450,2016-05-06,805,Admiral’s Way,,Emmatown,41352,NY
PREM-41609328,2016-05-06,46891,Seafarer Road,,Port Jeffreytown,80294,NY
PREM-27361509,2016-05-06,34572,Old Harbor Lane,,South Holly,56941,NY
PREM-64697230,2016-05-06,6402,Bayview Terrace,Estates,Comptonshire,75820,NY
PREM-86240519,2016-05-06,350,Ocean Mist Drive,,Kellyborough,34109,NY
PREM-13794682,2016-05-06,644,Crestwind Lane,,East Marytown,62073,NY
PREM-50871329,2016-05-06,7681,Whitecap Road,,East Alicebury,89453,NY
PREM-78264931,2016-05-06,2513,Harbor Breeze Drive,,Lake Ericchester,21536,NY
PREM-36059147,2016-05-06,81,Island Point Road,Expressway,South Anthony,78024,NY
PREM-69503812,2016-05-06,650,Cedar Bluff Drive,,New Meganshire,43968,NY
PREM-93652107,2016-05-06,8223,Village Green Lane,,Port Shaunview,50712,NY
PREM-52894136,2016-05-06,42849,Homestead Road,,Maryshire,93251,NY
PREM-76103492,2016-05-06,9104,Old Mill Drive,,Andersonfort,16490,NY
PREM-41287506,2016-05-06,5177,Iron Horse Road,,South Alicia,58036,NY
PREM-29856147,2016-05-06,65708,Rustic Meadow Lane,Mission,Lake Alyssa,74195,NY
PREM-67048215,2016-05-06,287,Farmstead Drive,Villages,New Bryce,26841,NY
PREM-89421375,2016-05-06,255,Wagonwheel Road,,East Kaitlyn,60357,NY
PREM-14256098,2016-05-06,263,Red Barn Lane,Wall,Kaufmanland,84519,NY
PREM-59781324,2016-05-06,3765,Stablebrook Drive,,North Kevinside,21048,NY
PREM-82145970,2016-05-06,8953,Grainfield Road,Parkways,South Sheena,76948,NY
PREM-38371045,2016-05-06,753,Harvest Bend Lane,,Pattersonchester,32410,NY
PREM-74521869,2016-05-06,9779,Cornflower Drive,Flats,New Genetown,51896,NY
PREM-91063752,2016-05-06,6684,Old Orchard Lane,,Adamsmouth,68704,NY
PREM-41896527,2016-05-06,986,Country Crest Road,,Allenfurt,95031,NY
PREM-27618493,2016-05-06,767,Hayfield Drive,Fort,Port Christina,47285,NY
PREM-63941287,2016-05-06,40,Millhouse Lane,,New Virginiahaven,63159,NY
PREM-85429160,2016-05-06,87076,Barnwood Road,,Hudsonshire,20863,NY
PREM-48291036,2016-05-06,267,Shepherd’s Path,Centers,New Ronald,79420,NY
PREM-59128407,2016-05-06,94786,Orchard View Drive,,Kingville,35691,NY
PREM-30847195,2016-05-06,8970,Wild Apple Lane,,Christophershire,68275,NY
PREM-76209413,2016-05-06,730,Pasture Ridge Drive,Ville,Ramosborough,91537,NY
PREM-10492857,2016-05-06,373,Fieldstone Road,River,Kimborough,47052,NY
PREM-83926514,2016-05-06,1972,Green Acres Lane,Rue,Rachaelfort,53892,NY
PREM-27540198,2016-05-06,3661,Old Country Road,,North Kathleen,62419,NY
PREM-69023784,2016-05-06,268,Harvest View Drive,Centers,East Jessica,79083,NY
PREM-15492837,2016-05-06,3406,Sunny Fields Lane,,West Aimeehaven,45120,NY
PREM-48176029,2016-05-06,1611,Golden Corn Lane,,Smithtown,69801,NY
PREM-93047182,2016-05-06,82486,Red Fox Road,Mall,Port Amybury,24739,NY
PREM-57281049,2016-05-06,5335,Thicket Grove Lane,Lane,Port Teresa,17584,NY
PREM-31490528,2016-05-06,702,Forest Trail Road,,Port Spencerstad,80213,NY
PREM-84621073,2016-05-06,996,Deep Woods Drive,,East Cesar,95384,NY
PREM-60573918,2016-05-06,5409,Winterberry Way,,Brownfort,64053,NY
PREM-21748056,2016-05-06,5345,Black Bear Road,,West Jennifer,52801,NY
PREM-93816520,2016-05-06,76194,Fawn Meadow Lane,Lane,Jennifershire,31675,NY
PREM-46029781,2016-05-06,177,Oakridge Lane,Ferry,Garcialand,78019,NY
PREM-72190438,2016-05-06,192,Mapleview Drive,,Jamesbury,49268,NY
PREM-58301749,2016-05-06,48413,Pinecrest Road,Plains,Montgomerybury,86140,NY
PREM-40982136,2016-05-06,2222,Willow Bend Street,Crossing,Wilsonbury,35017,NY
PREM-67205914,2016-05-06,51620,Cedarbrook Avenue,,Craigshire,71925,NY
PREM-31847025,2016-05-06,9309,Birchwood Court,,South Erica,40527,NY
PREM-90523618,2016-05-06,4614,Highland Terrace,,Mccoyport,93801,NY
PREM-14286709,2016-05-06,41780,Riverstone Lane,Motorway,Rachelmouth,56743,NY
PREM-68729415,2016-05-06,4630,Sunset Ridge Drive,Shores,New Josephhaven,82039,NY
PREM-52498173,2016-05-06,8324,Lakeshore Boulevard,,Erikaview,29375,NY
PREM-39061728,2016-05-06,889,Hillcrest Avenue,Vista,Leeborough,61092,NY
PREM-74820519,2016-05-06,8905,Meadowbrook Road,Wall,Michaelville,75408,NY
PREM-85691324,2016-05-06,938,Forest Glen Drive,Cliffs,Scottstad,14986,NY
PREM-21394057,2016-05-06,1418,Silverleaf Court,,Arielfort,58240,NY
PREM-46958032,2016-05-06,4862,Redwood Street,,North Thomasburgh,76192,NY
PREM-58213490,2016-05-06,89442,Autumn Ridge Lane,,Wilcoxmouth,43085,NY
PREM-31749862,2016-05-06,805,Whispering Pines Drive,,Flemington,69852,NY
PREM-94062718,2016-05-06,482,Broadmoor Avenue,Green,Tracyberg,24751,NY
PREM-10538279,2016-05-06,1771,Golden Meadow Road,,North Meganmouth,90314,NY
PREM-73601482,2016-05-06,244,Prairie View Drive,Mews,Shawtown,56827,NY
PREM-49178520,2016-05-06,427,Brookstone Lane,Brook,New Stephanie,81492,NY
PREM-62830941,2016-05-06,505,Valley Crest Drive,Roads,Port Kathryn,39276,NY
PREM-37482096,2016-05-06,87561,Canyon Ridge Road,,Guzmanberg,67518,NY
PREM-81942750,2016-05-06,81303,Elmwood Street,Track,Sarastad,25961,NY
PREM-20395816,2016-05-06,687,Timberline Drive,Center,Hannahburgh,70834,NY
PREM-56742039,2016-05-06,801,Creekside Court,Loaf,East Mikaylamouth,94127,NY
PREM-39271864,2016-05-06,435,Snowberry Lane,Trail,New Cynthiaberg,52647,NY
PREM-74105829,2016-05-06,6278,Bluebird Way,,Port Robertberg,31978,NY
PREM-60847231,2016-05-06,8149,Springwater Drive,Glen,South John,76405,NY
PREM-21530948,2016-05-06,65,Wildflower Road,River,Stricklandchester,40729,NY
PREM-89361742,2016-05-06,77087,Cottonwood Lane,Dam,Daniellemouth,29164,NY
PREM-43029857,2016-05-06,856,Sunnybrook Drive,Plain,South Kelly,68253,NY
PREM-57649108,2016-05-06,5124,Hickory Ridge Road,Plaza,Frankland,89521,NY
PREM-30928416,2016-05-06,274,Pleasant Valley Drive,Radial,Jamieborough,14380,NY
PREM-65472103,2016-05-06,93381,Morningstar Lane,Haven,Shaneton,50794,NY
PREM-19248576,2016-05-06,24734,Greenbriar Court,Corner,Port Anthonystad,71863,NY
PREM-87503921,2016-05-06,79824,Misty Hollow Drive,,Lake Richard,25607,NY
PREM-40861735,2016-05-06,366,Magnolia Circle,Road,East Robert,60314,NY
PREM-62319847,2016-05-06,551,Aspen View Drive,Mission,Whiteland,84975,NY
PREM-34157029,2016-05-06,741,Stonegate Road,Valleys,East Marieview,12058,NY
PREM-79042618,2016-05-06,86530,Harvest Lane,Island,Ericamouth,76952,NY
PREM-15693824,2016-05-06,63419,Shady Grove Street,Valley,Stephensland,34801,NY
PREM-48261395,2016-05-06,64064,Rolling Hills Drive,Keys,Colemantown,51674,NY
PREM-90573812,2016-05-06,5296,Windmill Court,Vista,South Rodney,69805,NY
PREM-31754908,2016-05-06,136,Clearwater Drive,,Jamesfurt,40721,NY
PREM-68214093,2016-05-06,97984,Fox Run Road,Islands,North Alexis,28973,NY
PREM-57420936,2016-05-06,94631,Silver Creek Lane,,Trujilloport,67201,NY
PREM-21387954,2016-05-06,4970,Amberwood Street,Plaza,West Heather,89136,NY
PREM-49821637,2016-05-06,4558,Briarwood Drive,Place,New Brittanymouth,14507,NY
PREM-63109425,2016-05-06,65846,Sandstone Avenue,Ferry,Christinaborough,59623,NY
PREM-37058149,2016-05-06,62496,Juniper Road,,East Shannon,82357,NY
PREM-85920413,2016-05-06,740,Sycamore Street,,Mackenziebury,38194,NY
PREM-20479568,2016-05-06,3941,Rosewood Lane,Lock,Melindamouth,74205,NY
PREM-76813042,2016-05-06,8098,Crimson Leaf Drive,Cliffs,Lake Melissabury,91843,NY
PREM-43509217,2016-05-06,960,Riverbend Road,Dam,Lake Teresafurt,41602,NY
PREM-59271804,2016-05-06,69230,Bayshore Avenue,Terrace,Smithside,27385,NY
PREM-31046829,2016-05-06,864,Mossy Oak Lane,Mountain,South Michael,64982,NY
PREM-67423981,2016-05-06,73893,Goldenleaf Drive,,North John,86705,NY
PREM-14852730,2016-05-06,5157,Pine Canyon Road,,North Victoriabury,13942,NY
PREM-80731629,2016-05-06,787,Sapphire Ridge Drive,Rest,East Lindsayville,50817,NY
PREM-26309457,2016-05-06,151,Willow Creek Lane,Expressway,Harttown,78243,NY
PREM-94075218,2016-05-06,83138,Ironwood Street,Expressway,Lisamouth,36915,NY
PREM-51739402,2016-05-06,452,Stonemill Road,Tunnel,Kathyhaven,69240,NY
PREM-38260147,2016-05-06,317,Eagle Ridge Drive,Landing,Elizabethhaven,93478,NY
PREM-76984510,2016-05-06,22776,Hunters Trail Lane,,West Eduardo,52619,NY
PREM-42903718,2016-05-06,18260,Summerfield Drive,Run,Bobbymouth,76301,NY
PREM-85621039,2016-05-06,804,Northgate Road,Route,Stephaniemouth,40826,NY
PREM-19347860,2016-05-06,4227,Southridge Drive,Road,Lake Jennifer,28795,NY
PREM-60498127,2016-05-06,8,Eastwood Lane,Lakes,North Samanthashire,67859,NY
PREM-27594018,2016-05-06,2237,Westhaven Drive,Club,North Krista,89534,NY
PREM-93047156,2016-05-06,665,Mountain View Road,Spurs,East Kimberly,14058,NY
PREM-14862579,2016-05-06,4883,Crown Point Drive,,Emilyfort,59692,NY
PREM-58231704,2016-05-06,58211,Hidden Valley Lane,Pike,West Thomas,82017,NY
PREM-40196825,2016-05-06,6618,Maple Bend Street,Mount,Burnsshire,38571,NY
PREM-73604281,2016-05-06,9488,Woodland Ridge Drive,,East Monica,74598,NY
PREM-25938410,2016-05-06,9644,Dove Creek Road,Hill,Michaelhaven,91057,NY
PREM-68915742,2016-05-06,53,Fernwood Lane,Light,East David,41822,NY
PREM-31497085,2016-05-06,9284,Orchard Hill Drive,,North Stephen,27634,NY
PREM-90527136,2016-05-06,2903,Lakeview Terrace,Lodge,East Davidstad,63978,NY
PREM-47263180,2016-05-06,2153,Greenfield Drive,Throughway,East Laurenview,85412,NY
PREM-15089342,2016-05-06,51,Sunnyside Road,Streets,Thomasville,13074,NY
PREM-68750291,2016-05-06,274,Crestwood Avenue,Street,New Kelsey,50312,NY
PREM-23841705,2016-05-06,4311,Shadowbrook Lane,,West Jenna,78930,NY
PREM-84190562,2016-05-06,871,Falling Waters Drive,Burg,Clarkville,36574,NY
PREM-39624817,2016-05-06,2213,Blue Ridge Road,,West Laurenhaven,69702,NY
PREM-75210384,2016-05-06,5649,Wildwood Lane,,Port Charles,94057,NY
PREM-41568927,2016-05-06,267,Cardinal Drive,,Lake Hectorberg,52837,NY
PREM-62319408,2016-05-06,1442,Pecan Grove Road,,Harrisville,76149,NY
PREM-30147865,2016-05-06,3426,Cedar Hollow Drive,Brooks,New Traceyview,41205,NY
PREM-89025613,2016-05-06,421,Woodlawn Avenue,,Cliffordtown,29847,NY
PREM-54781209,2016-05-06,56177,Broadview Road,,Matthewmouth,67012,NY
PREM-13296478,2016-05-06,61409,Autumn View Drive,,Camposville,89468,NY
PREM-76943012,2016-05-06,6373,Silver Oak Lane,,East Edward,14273,NY
PREM-40821597,2016-05-06,8391,Sunrise Valley Drive,Burg,South Jenniferstad,59730,NY
PREM-59308241,2016-05-06,82862,Meadowlark Road,,Lake Patrickfort,82169,NY
PREM-21476930,2016-05-06,554,Briar Patch Lane,,East Stephanieville,38325,NY
PREM-68052719,2016-05-06,54,Fox Hollow Drive,,Johnmouth,74560,NY
PREM-35149087,2016-05-06,91837,Stonebridge Street,,Boyerside,91028,NY
PREM-97218406,2016-05-06,39551,Lone Pine Road,Walks,Dannyfort,41854,NY
PREM-40617395,2016-05-06,310,Gentle Brook Lane,,Lake Mark,27695,NY
PREM-83721049,2016-05-06,2057,Brookhaven Drive,,West Christopherville,63904,NY
PREM-19508642,2016-05-06,8299,Willow Trace Road,Plains,Bishopmouth,85460,NY
PREM-57432018,2016-05-06,2036,Cedar Creek Lane,,Davidborough,13198,NY
PREM-68249105,2016-05-06,84390,Valley View Drive,Trail,Lake Grant,50345,NY
PREM-32075498,2016-05-06,55,Sunbrook Court,,Kimberlyland,78985,NY
PREM-95142607,2016-05-06,20579,Oak Meadow Lane,Roads,Brandonchester,36508,NY
PREM-47890312,2016-05-06,3218,Hidden Creek Road,Mission,North Stephen,69791,NY
PREM-63521809,2016-05-06,63197,Falcon Ridge Drive,,Gregoryshire,94005,NY
PREM-24956173,2016-05-06,72829,Crescent Hill Lane,,Port Saraport,52810,NY
PREM-80714392,2016-05-06,315,Ridgewood Drive,,North Amytown,76182,NY
PREM-36290518,2016-05-06,8251,Silver Maple Road,,Moralesfurt,41239,NY
PREM-79421063,2016-05-06,38549,Hilltop Avenue,,Howardview,29803,NY
PREM-41597328,2016-05-06,8826,Sapphire Lane,Crossroad,Hernandezfurt,67095,NY
PREM-62849103,2016-05-06,56274,Morning Mist Drive,Vista,Davidview,89402,NY
PREM-30185247,2016-05-06,758,Cedar Ridge Road,,Port Randall,14215,NY
PREM-85694017,2016-05-06,87856,River Park Drive,,Andersonfurt,59794,NY
PREM-27301594,2016-05-06,448,Wildflower Court,Fort,Wadeside,82103,NY
PREM-94162850,2016-05-06,3844,Canyon View Lane,Spurs,North Brendashire,38369,NY
PREM-51730498,2016-05-06,276,Snowberry Road,Overpass,Mistyhaven,74504,NY
