premise_id,meter_id,meter_number,meter_type,meter_status,meter_channel,installed_at,removed_at,created,updated
PREM-60498127,3795402681,3795402681,L+G Self-Cont Mesh,Customer,MT,2024-10-30T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-27594018,7450836129,7450836129,L+G Self-Cont Mesh,Customer,MT,2025-01-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93047156,9187254035,9187254035,L+G Self-Cont Mesh,Customer,MT,2024-08-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-14862579,4068721397,4068721397,KWH,Customer,MT,2003-10-29T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-58231704,2740169530,2740169530,KWH,Customer,MT,2021-04-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40196825,6384792051,6384792051,KWH,Customer,MT,2003-03-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-73604281,8571209364,8571209364,Sentinel,Customer,MT,2010-08-26T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-25938410,1395082746,1395082746,KWH,Customer,MT,2003-05-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68915742,5204796813,5204796813,KWH,Customer,MT,2003-10-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-31497085,7930254178,7930254178,KWH,Customer,MT,2022-07-22T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-90527136,3526408719,3526408719,KWH,Customer,MT,2024-02-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-47263180,6809415273,6809415273,KWH,Customer,MT,2004-03-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-15089342,9302158764,9302158764,KWH,Customer,MT,2007-07-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68750291,5148632719,5148632719,KWH,Customer,MT,2003-04-10T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-23841705,7684521093,7684521093,KWH,Customer,MT,2002-11-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-84190562,4025978165,4025978165,KWH,Customer,MT,2016-09-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-39624817,2891756403,2891756403,L+G Self-Cont Mesh,Customer,MT,2024-04-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-75210384,6748231058,6748231058,L+G Self-Cont Mesh,Customer,MT,2024-02-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-41568927,8954106273,8954106273,L+G Self-Cont Mesh,Customer,MT,2024-11-04T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-62319408,1475203896,1475203896,L+G Self-Cont Mesh,Customer,MT,2024-12-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-30147865,5982174031,5982174031,KWH,Customer,MT,2003-09-17T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-89025613,8214395760,8214395760,L+G Self-Cont Mesh,Customer,MT,2024-04-08T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-54781209,3715982049,3715982049,L+G Self-Cont Mesh,Customer,MT,2024-01-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-13296478,7520841368,7520841368,L+G Self-Cont Mesh,Customer,MT,2024-10-30T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76943012,9173028461,9173028461,KWH,Customer,MT,2023-03-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40821597,4086519725,4086519725,KWH,Customer,MT,2004-01-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-59308241,2679105438,2679105438,L+G Self-Cont Mesh,Customer,MT,2024-06-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-21476930,6417820935,6417820935,KWH,Customer,MT,2015-01-14T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68052719,8591402761,8591402761,L+G Self-Cont Mesh,Customer,MT,2024-08-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-35149087,1347295860,1347295860,KWH,Customer,MT,2017-04-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-97218406,5076198427,5076198427,KWH,Customer,MT,2004-05-17T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40617395,7820645139,7820645139,KWH,Customer,MT,2020-08-14T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-83721049,3640925781,3640925781,L+G Self-Cont Mesh,Customer,MT,2025-01-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-19508642,6958214073,6958214073,KWH,Customer,MT,2020-10-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-57432018,9364710285,9364710285,KWH,Customer,MT,2017-04-10T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-68249105,5268047193,5268047193,KWH,Customer,MT,2003-06-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-32075498,7639814260,7639814260,L+G Self-Cont Mesh,Customer,MT,2024-07-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-95142607,4135289762,4135289762,L+G Self-Cont Mesh,Customer,MT,2024-11-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-47890312,2957084619,2957084619,KWH,Customer,MT,2004-04-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-63521809,6724398025,6724398025,KWH,Customer,MT,2004-03-18T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-24956173,8982103471,8982103471,L+G Self-Cont Mesh,Customer,MT,2024-07-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-80714392,1508732429,1508732429,KWH,Customer,MT,2003-10-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-36290518,5990287134,5990287134,KWH,Customer,MT,2003-02-07T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-79421063,8261704950,8261704950,KWH,Customer,MT,2002-11-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-41597328,3875924018,3875924018,KWH,Customer,MT,2004-01-05T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-62849103,7489031625,7489031625,L+G Self-Cont Mesh,Customer,MT,2024-08-12T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-30185247,9148705280,9148705280,KWH,Customer,MT,2012-03-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-85694017,4105867293,4105867293,KWH,Customer,MT,2003-03-18T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-27301594,2794631057,2794631057,L+G Self-Cont Mesh,Customer,MT,2024-07-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-94162850,6394578271,6394578271,KWH,Customer,MT,2003-10-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-51730498,8527130946,8527130946,L+G Self-Cont Mesh,Customer,MT,2025-01-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-38421967,1419572068,1419572068,L+G Self-Cont Mesh,Customer,MT,2025-01-16T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76253041,5037289641,5037289641,KWH,Customer,MT,2003-05-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-42918507,7890642175,7890642175,KWH,Customer,MT,2003-10-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-89564012,3604927816,3604927816,L+G Self-Cont Mesh,Customer,MT,2024-10-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-13607258,6924750183,6924750183,KWH,Customer,MT,2003-06-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-60497531,9348025671,9348025671,L+G Self-Cont Mesh,Customer,MT,2024-10-23T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-28164907,5829413067,5829413067,L+G Self-Cont Mesh,Customer,MT,2024-05-14T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93740285,7419658203,7419658203,KWH,Customer,MT,2006-11-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-15208649,6903715842,6903715842,L+G Self-Cont Mesh,Customer,MT,2024-03-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-57943128,9284167053,9284167053,KWH,Customer,MT,2006-05-25T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-40396712,1048652793,1048652793,L+G Self-Cont Mesh,Customer,MT,2024-11-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-78612035,8157396024,8157396024,L+G Self-Cont Mesh,Customer,MT,2024-10-28T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-36289407,5726904318,5726904318,KWH,Customer,MT,2003-05-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-69501728,6498025731,6498025731,L+G Self-Cont Mesh,Customer,MT,2024-09-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93124650,7031958462,7031958462,KWH,Customer,MT,2004-11-06T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-52408319,8642095731,8642095731,KWH,Customer,MT,2003-05-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76859104,4928056713,4928056713,Sentinel,Customer,MT,2017-06-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-41237905,5814307692,5814307692,KWH,Customer,MT,2004-01-13T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-29048673,7401982653,7401982653,KWH,Customer,MT,2003-05-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-67350218,9137406285,9137406285,L+G Self-Cont Mesh,Customer,MT,2025-02-07T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-89417502,4839201574,4839201574,L+G Self-Cont Mesh,Customer,MT,2024-12-17T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-14582679,7291048653,7291048653,KWH,Customer,MT,2014-06-27T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-59834201,582193740,582193740,KWH,Customer,MT,2004-01-21T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-82194036,9348752061,9348752061,L+G Self-Cont Mesh,Customer,MT,2024-04-02T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-37951428,6721304908,6721304908,L+G Self-Cont Mesh,Customer,MT,2024-09-20T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-75103649,1482937562,1482937562,KWH,Customer,MT,2004-04-22T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-91728450,5903842179,5903842179,L+G Self-Cont Mesh,Customer,MT,2024-10-18T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-41609328,8031275461,8031275461,KWH,Customer,MT,2003-05-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-27361509,4178629305,4178629305,KWH,Customer,MT,2003-06-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-64697230,2967034817,2967034817,L+G Self-Cont Mesh,Customer,MT,2024-02-26T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-86240519,8517294036,8517294036,KWH,Customer,MT,2003-12-03T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-13794682,349821759,349821759,KWH,Customer,MT,2014-11-12T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-50871329,1204983726,1204983726,KWH,Customer,MT,2003-07-15T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-78264931,9872104563,9872104563,KWH,Customer,MT,2003-10-31T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-36059147,5630194872,5630194872,L+G Self-Cont Mesh,Customer,MT,2024-06-11T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-69503812,2049375819,2049375819,L+G Self-Cont Mesh,Customer,MT,2025-02-12T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-93652107,7590428130,7590428130,L+G Self-Cont Mesh,Customer,MT,2024-04-29T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-52894136,3186297405,3186297405,KWH,Customer,MT,2003-04-09T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
PREM-76103492,6427103981,6427103981,KWH,Customer,MT,2003-10-01T00:00:00Z,,2025-03-04T09:30:42Z,2025-03-04T09:30:42Z
