SERVICE_POINT_ID,SERVICE_POINT_NUMBER,SERVICE_POINT_STREET,SERVICE_POINT_CITY,SERVICE_POINT_ZIP,SERVICE_POINT_STATE,INSTALLED_AT,REMOVED_AT,CREATED,UPDATED
SP-36249810,36249810,CRYSTAL SHOALS,NORTH JUSTINSTAD,36249,NY,,,2023-06-02,2023-11-07
SP-69750182,69750182,BRYANT VIEW,LAKE DOUGLASSIDE,69750,NY,,,2022-05-06,2022-05-06
SP-93012745,93012745,KING CLIFF,EAST STEPHANIESHIRE,93012,NY,,,2022-05-06,2022-05-06
SP-51870904,51870904,LAURA FERRY,WEST JONATHAN,51870,NY,,,2022-05-06,2022-05-06
SP-76481973,76481973,BARRY ROADS,WILSONVILLE,76481,NY,,,2022-05-06,2022-05-06
SP-40958702,40958702,BROWN MANOR,EAST ALLISONBOROUGH,40958,NY,,,2022-05-06,2022-05-06
SP-28460315,28460315,JOHNSON CRESCENT,WEST WARRENSTAD,28460,NY,,,2022-05-06,2022-05-06
SP-67514862,67514862,MARK MILL,MARYTOWN,67514,NY,,,2022-05-06,2022-05-06
SP-89246319,89246319,JACQUELINE COVE,NORTH MIA,89246,NY,,,2022-05-06,2022-05-06
SP-14072853,14072853,MORGAN MOUNTAIN,SOUTH ERIC,14072,NY,,,2022-05-06,2022-05-06
SP-59907482,59907482,WHITE ISLAND,SOUTH CHRISTINECHESTER,59907,NY,,,2022-05-06,2022-05-06
SP-82153694,82153694,JOHNSON PATH,HARDINSTAD,82153,NY,,,2022-05-06,2022-05-06
SP-38709217,38709217,JIM MANOR,PORT CAMERONMOUTH,38709,NY,,,2022-05-06,2022-05-06
SP-74691840,74691840,FISCHER VILLAGE,EAST ROSSVILLE,74691,NY,,,2022-05-06,2022-05-06
SP-91358074,91358074,AMY INLET,CALLAHANMOUTH,91358,NY,,,2022-05-06,2022-05-06
SP-41096259,41096259,CRAIG ESTATE,NEW ALEXANDRA,41096,NY,,,2022-05-06,2022-05-06
SP-27948102,27948102,BROWN FLAT,EAST KAYLA,27948,NY,,,2022-05-06,2022-05-06
SP-64807596,64807596,KRISTINA LANE,GARYCHESTER,64807,NY,,,2022-05-06,2022-05-06
SP-86794215,86794215,EDWARDS SHOALS,EAST KEVIN,86794,NY,,,2022-05-06,2022-05-06
SP-13079648,13079648,CRAWFORD TUNNEL,FOXCHESTER,13079,NY,,,2022-05-06,2022-05-06
SP-50738416,50738416,JEFFREY SUMMIT,WEST DANIELSTAD,50738,NY,,,2022-05-06,2022-05-06
SP-78265049,78265049,ANDREW WALKS,SMITHBURGH,78265,NY,,,2022-05-06,2022-05-06
SP-36194208,36194208,EMMA COMMON,WEST JEANETTECHESTER,36194,NY,,,2022-05-06,2022-05-06
SP-69031752,69031752,MILLER ISLAND,PORT DANIELTOWN,69031,NY,,,2022-05-06,2022-05-06
SP-93421560,93421560,WU BROOKS,BILLYTON,93421,NY,,,2022-05-06,2022-05-06
SP-52078493,52078493,PARKER LIGHTS,CASTILLOBOROUGH,52078,NY,,,2022-05-06,2022-05-06
SP-76935104,76935104,ALICE VIA,ADAMCHESTER,76935,NY,,,2022-05-06,2022-05-06
SP-40287513,40287513,MICHAEL WELLS,CASTILLOHAVEN,40287,NY,,,2022-05-06,2022-05-06
SP-29861472,29861472,GUERRA GLENS,HEATHERSTAD,29861,NY,,,2022-05-06,2022-05-06
SP-67195036,67195036,KIDD OVERPASS,NORTH TONY,67195,NY,,,2022-05-06,2022-05-06
SP-89647512,89647512,AARON VALLEY,JOHNSHIRE,89647,NY,,,2022-05-06,2022-05-06
SP-14927350,14927350,RIVERA MANOR,MOOREFURT,14927,NY,,,2022-05-06,2022-05-06
SP-59360842,59360842,AMY HEIGHTS,NORTH MEREDITHFURT,59360,NY,,,2022-05-06,2022-05-06
SP-82931407,82931407,TROY KEY,HALETOWN,82931,NY,,,2022-05-06,2022-05-06
SP-37495863,37495863,JEFFERSON MISSION,DIANAMOUTH,37495,NY,,,2022-05-06,2022-05-06
SP-75280691,75280691,JACOB ESTATE,ALEXANDERTOWN,75280,NY,,,2022-05-06,2022-05-06
SP-91526740,91526740,EDWARDS GREEN,KELLYPORT,91526,NY,,,2022-05-06,2022-05-06
SP-41860399,41860399,WARNER PORTS,JOHNSONCHESTER,41860,NY,,,2022-05-06,2022-05-06
SP-27359864,27359864,BANKS MEADOW,NEW DEREK,27359,NY,,,2022-05-06,2022-05-06
SP-64572139,64572139,PATTERSON MILLS,GUZMANMOUTH,64572,NY,,,2022-05-06,2022-05-06
SP-86294074,86294074,ARMSTRONG SPRINGS,PORT DAVIDFORT,86294,NY,,,2022-05-06,2022-05-06
SP-13548729,13548729,NATHAN HIGHWAY,FRAZIERPORT,13548,NY,,,2022-05-06,2022-05-06
SP-50397264,50397264,HARRIS KEYS,GOMEZPORT,50397,NY,,,2022-05-06,2022-05-06
SP-78912604,78912604,STACY CANYON,CAMPBELLSIDE,78912,NY,,,2022-05-06,2022-05-06
SP-36974092,36974092,WRIGHT MOUNTAIN,SMITHTOWN,36974,NY,,,2022-05-06,2022-05-06
SP-69285730,69285730,COOK ISLE,RICHARDTON,69285,NY,,,2022-05-06,2022-05-06
SP-93706215,93706215,SHARON LAKES,NORTH ERICA,93706,NY,,,2022-05-06,2022-05-06
SP-52603174,52603174,TIFFANY PARKWAY,GUTIERREZBOROUGH,52603,NY,,,2022-05-06,2022-05-06
SP-76394512,76394512,DAVID MISSION,PORT JAMES,76394,NY,,,2022-05-06,2022-05-06
SP-40813569,40813569,SMITH TUNNEL,DEBORAHCHESTER,40813,NY,,,2022-05-06,2022-05-06
SP-28760514,28760514,ROBERTS VILLAGE,STRONGBERG,28760,NY,,,2022-05-06,2022-05-06
SP-67841925,67841925,ALVAREZ LOCKS,FRANCISCOPORT,67841,NY,,,2022-05-06,2022-05-06
SP-89570361,89570361,MCDONALD VALLEY,EAST ROBERT,89570,NY,,,2022-05-06,2022-05-06
SP-14096748,14096748,MARY FORKS,PHILIPFORT,14096,NY,,,2022-05-06,2022-05-06
SP-59648023,59648023,HANSON GLENS,SOUTH LINDA,59648,NY,,,2022-05-06,2022-05-06
SP-82369452,82369452,COLE ROADS,STEVENSVILLE,82369,NY,,,2022-05-06,2022-05-06
SP-38605743,38605743,ELLIS KEY,EAST TIMOTHY,38605,NY,,,2022-05-06,2022-05-06
SP-74150318,74150318,TANYA WALL,SCHMITTBURGH,74150,NY,,,2022-05-06,2022-05-06
SP-91820750,91820750,GREEN ISLE,EAST MARIAHBOROUGH,91820,NY,,,2022-05-06,2022-05-06
SP-41503682,41503682,HORN FALLS,MORGANSTAD,41503,NY,,,2022-05-06,2022-05-06
SP-27845172,27845172,HUNTER COURT,EAST STEVE,27845,NY,,,2022-05-06,2022-05-06
SP-64930510,64930510,ORR LOCKS,NATHANIELTOWN,64930,NY,,,2022-05-06,2022-05-06
SP-86721436,86721436,SANDRA MOUNTAINS,NORTH KATIE,86721,NY,,,2022-05-06,2022-05-06
SP-13492507,13492507,BOWMAN MALL,BRADLEYCHESTER,13492,NY,,,2022-05-06,2023-10-25
SP-51263840,51263840,JOHNSON LANE,DILLONBURGH,51263,NY,,,2022-05-06,2022-05-06
SP-79380192,79380192,TAYLOR FERRY,LAURENBURGH,79380,NY,,,2022-05-06,2022-05-06
SP-35247910,35247910,LAURA LOAF,BRIANTOWN,35247,NY,,,2022-05-06,2022-05-06
SP-68139067,68139067,CARLA LOCK,SANDOVALSIDE,68139,NY,,,2022-05-06,2022-05-06
SP-93074102,93074102,MARK WALK,CHRISTIANBURY,93074,NY,,,2022-05-06,2022-05-06
SP-52491638,52491638,ASHLEY ISLANDS,NORTH MICHAELFURT,52491,NY,,,2022-07-18,2022-08-01
SP-76905413,76905413,POWELL LOCK,NORTH DANIEL,76905,NY,,,2022-05-06,2022-05-06
SP-40768291,40768291,JENNIFER LOCK,GALLOWAYTOWN,40768,NY,,,2022-05-06,2022-05-06
SP-29183502,29183502,LAURA PRAIRIE,MILLSHAVEN,29183,NY,,,2022-05-23,2022-06-03
SP-67502397,67502397,PATRICK REST,BURNSPORT,67502,NY,,,2022-05-06,2022-05-06
SP-89154026,89154026,BROWN FORGES,NEW CHELSEAVILLE,89154,NY,,,2022-05-06,2022-05-06
SP-14827091,14827091,ROBERTS DAM,WEST MIKAYLAFORT,14827,NY,,,2022-05-06,2022-05-06
SP-59862473,59862473,BARNES MISSION,PORT DARLENELAND,59862,NY,,,2022-05-06,2022-05-06
SP-82471504,82471504,WEAVER COURT,WEST COLINLAND,82471,NY,,,2022-05-06,2022-05-06
SP-37964015,37964015,ISAAC CREST,MARKTOWN,37964,NY,,,2022-05-06,2022-05-06
SP-75148962,75148962,NATHANIEL GLENS,MELINDAMOUTH,75148,NY,,,2022-05-06,2022-05-06
SP-91782094,91782094,SNYDER DALE,SOUTH CHRISTOPHERMOUTH,91782,NY,,,2022-05-06,2022-05-06
SP-41698735,41698735,KARA HEIGHTS,CASEYHAVEN,41698,NY,,,2022-05-06,2022-05-06
SP-27360410,27360410,JIMENEZ FORGE,NEW KEITH,27360,NY,,,2022-05-06,2022-05-06
SP-64631802,64631802,RUTH COURSE,BROOKETON,64631,NY,,,2022-05-06,2022-05-06
SP-86205918,86205918,WALLACE TRAIL,JONESMOUTH,86205,NY,,,2022-05-06,2022-05-06
SP-13978625,13978625,HOLLY RIDGES,NEW LOUISBURGH,13978,NY,,,2022-05-06,2022-05-06
SP-50872496,50872496,PERKINS TUNNEL,NEW KATIE,50872,NY,,,2022-05-06,2022-05-06
SP-78216391,78216391,CHRISTOPHER ORCHARD,SOUTH ERINCHESTER,78216,NY,,,2022-05-06,2022-05-06
SP-36085743,36085743,BARRETT PLAZA,SOUTH DAVIDFURT,36085,NY,,,2022-05-06,2022-05-06
SP-69530821,69530821,TIMOTHY VIEWS,TERESACHESTER,69530,NY,,,2022-05-06,2022-05-06
SP-93642019,93642019,TRACY TURNPIKE,EAST BRIANBURY,93642,NY,,,2022-05-06,2022-05-06
SP-52896432,52896432,BERRY BURGS,CHERRYLAND,52896,NY,,,2022-05-06,2022-05-06
SP-76103418,76103418,MEGAN FALL,RIVERAHAVEN,76103,NY,,,2022-05-06,2022-05-06
SP-41287563,41287563,LORI GROVES,NORTH JENNIFER,41287,NY,,,2022-07-06,2022-07-24
SP-29856102,29856102,MICHAEL BYPASS,COURTNEYPORT,29856,NY,,,2022-05-06,2022-05-06
SP-67048293,67048293,CHRISTOPHER SHOALS,PORT JOYCEFURT,67048,NY,,,2022-05-06,2022-05-06
SP-89421350,89421350,LAWRENCE MOTORWAY,NORTH RACHEL,89421,NY,,,2022-05-06,2022-05-06
SP-14256031,14256031,KAREN DRIVE,SOUTH DIANE,14256,NY,,,2022-05-06,2022-05-06
SP-59781360,59781360,MILLER AVENUE,MARCOSIDE,59781,NY,,,2022-05-06,2022-05-06
SP-82145936,82145936,DUNN PORTS,PORT JAMES,82145,NY,,,2022-05-06,2022-05-06
SP-38371014,38371014,KRISTEN FOREST,LOUISBOROUGH,38371,NY,,,2022-05-06,2022-05-06
SP-74521805,74521805,FREEMAN FORKS,JENNIFERSTAD,74521,NY,,,2022-05-06,2022-05-06
SP-91063721,91063721,RUSSO GARDEN,SOUTH JASONTON,91063,NY,,,2022-05-06,2022-05-06
SP-41896580,41896580,COLLINS RUE,BEVERLYBERG,41896,NY,,,2022-05-06,2022-05-06
SP-27618457,27618457,ALBERT PLAIN,NORTH CURTISTOWN,27618,NY,,,2022-06-01,2022-06-21
SP-63941204,63941204,BANKS FIELD,NORTH MATTHEW,63941,NY,,,2022-05-06,2022-05-06
SP-85429193,85429193,CHRISTINE CIRCLE,MILESMOUTH,85429,NY,,,2022-05-06,2022-05-06
SP-13150742,13150742,CHAN ROADS,MYERSPORT,13150,NY,,,2022-05-06,2022-05-06
SP-50368271,50368271,CASTILLO WALL,EAST JUSTIN,50368,NY,,,2022-05-06,2022-05-06
SP-78964082,78964082,CARRILLO TRACE,RONALDPORT,78964,NY,,,2022-05-06,2022-05-06
SP-36592013,36592013,GABRIELLA DALE,MATTHEWSTAD,36592,NY,,,2022-05-06,2022-05-06
SP-69748321,69748321,ROTH STREET,EAST ZACHARY,69748,NY,,,2022-05-06,2022-05-06
SP-94018622,94018622,KYLE FREEWAY,WEST TONIMOUTH,94018,NY,,,2022-05-06,2022-05-06
SP-57362910,57362910,BETH GLENS,NEW ROBERTBURGH,57362,NY,,,2022-05-06,2022-05-06
SP-42819075,42819075,WOOD PASS,LAURABERG,42819,NY,,,2022-05-06,2022-05-06
SP-61047952,61047952,HAYS RAPID,NORTH RITABURGH,61047,NY,,,2022-05-06,2022-05-06
SP-89315270,89315270,STEVENS DRIVE,NORTH TINA,89315,NY,,,2022-05-06,2022-05-06
SP-74186532,74186532,DANIEL CIRCLES,SANDRAVIEW,74186,NY,,,2022-05-06,2022-05-06
SP-25039841,25039841,MONICA TRACK,NORTH LAURAVIEW,25039,NY,,,2022-05-06,2022-05-06
SP-16284679,16284679,TIFFANY PRAIRIE,EAST TRACEY,16284,NY,,,2022-05-06,2022-05-06
SP-70593864,70593864,AMANDA GARDENS,SOUTH DANIEL,70593,NY,,,2022-05-06,2022-05-06
SP-84620937,84620937,GILBERT FERRY,PRATTBERG,84620,NY,,,2022-05-06,2022-05-06
SP-31907452,31907452,ROSS MISSION,JUSTINBURGH,31907,NY,,,2022-05-06,2022-05-06
SP-58427691,58427691,LAURA MANOR,PORT JOHN,58427,NY,,,2022-05-06,2022-05-06
SP-79651802,79651802,CYNTHIA HILL,PORT DYLAN,79651,NY,,,2022-05-06,2022-05-06
SP-23490867,23490867,ROBERT ORCHARD,NORTH PAULAHAVEN,23490,NY,,,2022-05-06,2022-05-06
SP-67284915,67284915,CARR RANCH,DAVIDCHESTER,67284,NY,,,2022-05-06,2022-05-06
SP-90571324,90571324,SNOW SHOAL,TAYLORHAVEN,90571,NY,,,2022-08-18,2022-09-08
SP-41352698,41352698,BAIRD INLET,PORT SPENCER,41352,NY,,,2022-05-06,2022-05-06
SP-80294517,80294517,TURNER LOCKS,LEWISLAND,80294,NY,,,2022-05-06,2022-05-06
SP-56941285,56941285,THOMAS ISLANDS,WEST ERINFORT,56941,NY,,,2022-05-06,2022-05-06
SP-75820431,75820431,SMITH VISTA,CANTUBURY,75820,NY,,,2022-05-06,2022-05-06
SP-34109568,34109568,ROBERT FLATS,NEW MONICA,34109,NY,,,2022-05-06,2022-05-06
SP-62073914,62073914,TODD CENTERS,NEW PATRICKLAND,62073,NY,,,2022-05-06,2022-05-06
SP-89453760,89453760,YOUNG BROOKS,STEPHENFORT,89453,NY,,,2022-05-06,2022-05-06
SP-21536048,21536048,MATTHEW BRANCH,EAST CHRISTOPHERTON,21536,NY,,,2022-05-06,2022-05-06
SP-78024961,78024961,VANESSA SPRINGS,NEW JAIME,78024,NY,,,2022-05-06,2022-05-06
SP-43968752,43968752,HUGHES SQUARE,PINEDAVILLE,43968,NY,,,2022-05-06,2022-05-06
SP-50712689,50712689,GERALD PORT,NEW ERIN,50712,NY,,,2022-05-06,2022-05-06
SP-93251840,93251840,MCDOWELL VILLE,LAKE ROBERTBOROUGH,93251,NY,,,2022-05-06,2022-05-06
SP-16490723,16490723,MATTHEW TUNNEL,NORTH SHELLYLAND,16490,NY,,,2022-05-06,2022-05-06
SP-58036710,58036710,GRAHAM PRAIRIE,NEW NICHOLASVIEW,58036,NY,,,2022-05-06,2022-05-06
SP-74195826,74195826,ERIN ROADS,WEST BETH,74195,NY,,,2022-05-06,2022-05-06
SP-26841759,26841759,PIERCE HIGHWAY,NORTH ROBERTTOWN,26841,NY,,,2022-05-06,2022-05-06
SP-60357812,60357812,THOMAS CRESCENT,WEST MICHAELLAND,60357,NY,,,2022-05-06,2022-05-06
SP-84519267,84519267,ELIZABETH BURGS,EAST DALTON,84519,NY,,,2022-05-06,2022-05-06
SP-21048296,21048296,BOWMAN PLAINS,EAST ASHLEYBURY,21048,NY,,,2022-05-06,2022-05-06
SP-76948952,76948952,KEVIN TERRACE,ERICSHIRE,76948,NY,,,2022-05-06,2022-05-06
SP-32410278,32410278,SNYDER CLIFFS,KIMBERLYFURT,32410,NY,,,2022-05-06,2022-05-06
SP-51896403,51896403,PAUL HILLS,CANDACEMOUTH,51896,NY,,,2022-05-06,2022-05-06
SP-68704125,68704125,CHRISTINE STREAM,LAKE BETTYFORT,68704,NY,,,2022-05-06,2022-05-06
SP-95031647,95031647,ATKINS LIGHT,NEW ALICIA,95031,NY,,,2022-05-06,2022-05-06
SP-47285490,47285490,WEAVER GREEN,SARABURY,47285,NY,,,2022-05-06,2022-05-06
SP-63159174,63159174,WENDY LAKES,FINLEYMOUTH,63159,NY,,,2022-05-06,2022-05-06
SP-20863459,20863459,ERIC TRAIL,SOUTH AMANDA,20863,NY,,,2022-05-06,2022-05-06
SP-79420186,79420186,ROBERT CAUSEWAY,ORTIZMOUTH,79420,NY,,,2022-05-06,2022-05-06
SP-35691428,35691428,HERNANDEZ ISLANDS,DIANAMOUTH,35691,NY,,,2022-05-06,2022-05-06
SP-68275940,68275940,MIDDLETON MEADOW,MICHAELVIEW,68275,NY,,,2022-05-06,2022-05-06
SP-91537286,91537286,JAMIE FIELDS,SOUTH MARY,91537,NY,,,2022-05-06,2022-05-06
SP-47052813,47052813,SALAZAR TUNNEL,JONESBERG,47052,NY,,,2022-05-06,2022-05-06
SP-53892047,53892047,CUNNINGHAM LOCKS,LAKE SCOTTSIDE,53892,NY,,,2022-05-06,2022-05-06
SP-62419758,62419758,JONES BROOK,GREERPORT,62419,NY,,,2022-05-06,2022-05-06
SP-79083416,79083416,MARY HARBORS,ERICTOWN,79083,NY,,,2022-05-06,2022-05-06
SP-45120279,45120279,FREDERICK FORD,LAKE ELIZABETH,45120,NY,,,2022-05-06,2022-05-06
SP-69801742,69801742,GARCIA ALLEY,CAMPBELLVIEW,69801,NY,,,2022-05-06,2022-05-06
SP-24739850,24739850,CISNEROS FERRY,JASONCHESTER,24739,NY,,,2022-05-06,2022-05-06
SP-17584963,17584963,ETHAN SPRINGS,SOUTH CARRIEBOROUGH,17584,NY,,,2022-05-06,2022-05-06
SP-80213675,80213675,COOK FIELD,PORT AARON,80213,NY,,,2022-05-06,2022-05-06
SP-95384702,95384702,CARTER PLAIN,HOODBERG,95384,NY,,,2022-05-06,2022-05-06
SP-64053197,64053197,JOSE LAKE,DAVILALAND,64053,NY,,,2022-05-06,2022-05-06
SP-52801749,52801749,JENNA VILLAGES,LAKE WILLIAM,52801,NY,,,2022-05-06,2022-05-06
SP-31675824,31675824,JOHNSON MOUNTAINS,LAKE JOSHUABURY,31675,NY,,,2022-05-06,2022-05-06
SP-78019745,78019745,PRESTON GARDEN,EAST KAYLASIDE,78019,NY,,,2022-05-06,2022-05-06
SP-49268501,49268501,ANTHONY POINTS,LAKE SARAH,49268,NY,,,2022-05-06,2022-05-06
SP-86140925,86140925,DESTINY GATEWAY,WEST DENNIS,86140,NY,,,2022-05-06,2022-05-06
SP-35017943,35017943,MILLER STREAM,HILLHAVEN,35017,NY,,,2022-05-06,2022-05-06
SP-71925408,71925408,MCDONALD LIGHTS,SOUTH ALICIA,71925,NY,,,2022-05-06,2022-05-06
SP-40527416,40527416,AVILA ROUTE,STOKESBURGH,40527,NY,,,2022-05-06,2022-05-06
SP-93801764,93801764,TAYLOR LAKES,GARDNERTOWN,93801,NY,,,2022-05-06,2022-05-06
SP-56743921,56743921,ORR VIA,GREENPORT,56743,NY,,,2022-05-06,2022-05-06
SP-82039654,82039654,WALL STREAM,HEATHERSHIRE,82039,NY,,,2022-05-06,2022-05-06
SP-29375416,29375416,BETH GREEN,WEST ROBERTSTAD,29375,NY,,,2022-05-06,2022-05-06
SP-61092347,61092347,JERRY MEADOWS,NEW JASONVIEW,61092,NY,,,2022-05-06,2022-05-06
SP-75408792,75408792,LIU LODGE,NEW BROOKE,75408,NY,,,2022-05-06,2022-05-06
SP-14986270,14986270,DOYLE MANORS,EAST MEGAN,14986,NY,,,2022-05-06,2022-05-06
SP-58240491,58240491,HARRIS MILL,PORT BRENDA,58240,NY,,,2022-05-06,2022-05-06
SP-76192753,76192753,HOLMES CIRCLE,PORT JOSEPHCHESTER,76192,NY,,,2022-05-06,2022-05-06
SP-43085719,43085719,SHERRI FORK,HURSTBERG,43085,NY,,,2022-05-06,2022-05-06
SP-69852804,69852804,MARTIN CROSSING,ANDREWTOWN,69852,NY,,,2022-05-06,2022-05-06
SP-24751739,24751739,ROBERT BRANCH,PORT JOHNPORT,24751,NY,,,2022-05-06,2022-05-06
SP-90314856,90314856,CRANE MEWS,LISAFURT,90314,NY,,,2022-05-06,2022-05-06
SP-56827903,56827903,GARY TRAIL,SMITHSTAD,56827,NY,,,2022-05-06,2022-05-06
SP-81492650,81492650,CARRIE INLET,NEW DARRYLMOUTH,81492,NY,,,2022-05-06,2022-05-06
SP-39276821,39276821,SHARON UNION,WEST KARENMOUTH,39276,NY,,,2022-05-06,2022-05-06
SP-67518294,67518294,JOHNSON RAPID,DIANAMOUTH,67518,NY,,,2022-05-06,2022-05-06
SP-25961940,25961940,THOMAS OVAL,WEST JASONFURT,25961,NY,,,2022-05-06,2022-05-06
SP-70834961,70834961,JOY OVAL,NEW THOMAS,70834,NY,,,2022-05-06,2022-05-06
SP-94127586,94127586,JENNIFER MEADOW,EAST BLAKELAND,94127,NY,,,2022-05-06,2022-05-06
SP-52647310,52647310,BOWEN SHORE,EAST ROBERT,52647,NY,,,2022-05-06,2022-05-06
SP-31978652,31978652,JOSEPH DALE,JASONSTAD,31978,NY,,,2022-05-06,2022-05-06
SP-76405498,76405498,CHRISTOPHER COVES,JENNIFERTOWN,76405,NY,,,2022-05-06,2022-05-06
SP-40729831,40729831,KAYLA KNOLLS,JENNIFERFORT,40729,NY,,,2022-05-06,2022-05-06
SP-29164807,29164807,DAVID SPUR,SOUTH SANDRABURY,29164,NY,,,2022-05-06,2022-05-06
SP-68253640,68253640,ADAM ALLEY,NEW JAMES,68253,NY,,,2022-05-06,2022-05-06
SP-89521473,89521473,MATHIS LANE,LAKE THOMAS,89521,NY,,,2022-05-06,2022-05-06
SP-14380965,14380965,GARY CANYON,JENKINSBERG,14380,NY,,,2022-05-06,2022-05-06
SP-50794823,50794823,BROOKS UNIONS,EAST KEVIN,50794,NY,,,2022-05-06,2022-05-06
SP-71863942,71863942,BAUER KNOLLS,WRIGHTFORT,71863,NY,,,2022-05-06,2022-05-06
SP-25607485,25607485,CRAWFORD VIEW,SOUTH JOSHUA,25607,NY,,,2022-05-06,2022-05-06
SP-60314827,60314827,ROMERO RUE,HEIDIVIEW,60314,NY,,,2022-05-06,2022-05-06
SP-84975039,84975039,SINGH PLAIN,NORTH BILLY,84975,NY,,,2022-05-06,2022-05-06
SP-12058743,12058743,ALEX MILLS,AVILABURY,12058,NY,,,2022-05-06,2022-05-06
SP-76952103,76952103,MARTIN TRACK,THOMASTON,76952,NY,,,2022-05-06,2022-05-06
SP-34801926,34801926,SHARON GARDENS,BRENDACHESTER,34801,NY,,,2022-05-06,2022-05-06
SP-51674892,51674892,WADE MISSION,DAVISSIDE,51674,NY,,,2022-05-06,2022-05-06
SP-69805817,69805817,TAYLOR MILL,GARCIAFORT,69805,NY,,,2022-05-06,2022-05-06
SP-40721896,40721896,ANDREW TUNNEL,GRANTSIDE,40721,NY,,,2022-05-06,2022-05-06
SP-28973961,28973961,KATHLEEN MILLS,BIRDPORT,28973,NY,,,2022-05-06,2022-05-06
SP-67201984,67201984,DANIEL MEWS,DEANNABOROUGH,67201,NY,,,2022-05-06,2022-05-06
SP-89136145,89136145,MATTHEW PLAINS,NORTH MARGARET,89136,NY,,,2022-05-06,2022-05-06
SP-14507082,14507082,KYLE PLAIN,BARRYCHESTER,14507,NY,,,2022-05-06,2022-05-06
