meter_id,meter_timestamp,meter_duration,meter_value,meter_type,meter_category
MTR-87320541,2024-11-27T18:59:00Z,30,3,Company,Periodic
MTR-32891745,2024-10-29T23:35:00Z,33,2,Estimation,Periodic
MTR-76018432,2024-11-27T18:59:00Z,30,67,Company,Periodic
MTR-91587024,2024-11-27T18:59:00Z,30,317,Company,Periodic
MTR-40731682,2024-11-27T18:07:00Z,31,79,Company,Periodic
MTR-25406791,2024-11-27T18:10:00Z,31,0,Company,Periodic
MTR-63059821,2024-10-28T23:37:00Z,35,0,Estimation,Periodic
MTR-84279153,2024-11-27T18:17:00Z,31,34,Company,Periodic
MTR-13850742,2024-11-27T18:17:00Z,31,9900,Company,Periodic
MTR-50268197,2024-11-27T18:29:00Z,31,108,Company,Periodic
MTR-78405126,2024-11-27T18:28:00Z,31,211,Company,Periodic
MTR-36912548,2024-11-27T18:28:00Z,31,68,Company,Periodic
MTR-69028743,2024-11-27T18:41:00Z,31,65,Company,Periodic
MTR-93045187,2024-11-27T18:41:00Z,31,58,Company,Periodic
MTR-51739286,2024-11-27T18:55:00Z,31,11,Company,Periodic
MTR-76204813,2024-11-25T20:40:00Z,32,139,Estimation,Periodic
MTR-40597821,2024-11-25T20:40:00Z,32,108,Estimation,Periodic
MTR-28461359,2024-11-25T20:40:00Z,32,149,Estimation,Periodic
MTR-67820341,2024-11-25T20:40:00Z,32,157,Estimation,Periodic
MTR-89457012,2024-11-25T20:40:00Z,32,110,Estimation,Periodic
MTR-14629857,2024-11-25T20:40:00Z,32,39,Estimation,Periodic
MTR-59187420,2024-11-25T20:40:00Z,32,158,Estimation,Periodic
MTR-82346109,2024-11-25T20:40:00Z,32,135,Estimation,Periodic
MTR-37954026,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-74508361,2024-11-25T20:40:00Z,32,132,Estimation,Periodic
MTR-91872540,2024-11-25T20:40:00Z,32,124,Estimation,Periodic
MTR-40687213,2024-11-25T20:40:00Z,32,96,Estimation,Periodic
MTR-27401695,2024-11-25T20:40:00Z,32,97,Estimation,Periodic
MTR-63847920,2024-11-25T20:40:00Z,32,74,Estimation,Periodic
MTR-85712093,2024-11-25T20:40:00Z,32,147,Estimation,Periodic
MTR-13950827,2024-11-25T20:40:00Z,34,126,Estimation,Periodic
MTR-52047968,2024-11-25T20:40:00Z,32,56,Estimation,Periodic
MTR-79302541,2024-11-25T20:40:00Z,32,95,Estimation,Periodic
MTR-35264087,2024-11-25T20:40:00Z,32,98,Estimation,Periodic
MTR-68094152,2024-11-25T20:40:00Z,32,119,Estimation,Periodic
MTR-93021587,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-51486327,2024-11-25T20:40:00Z,32,158,Estimation,Periodic
MTR-76845210,2024-11-25T20:40:00Z,32,580,Estimation,Periodic
MTR-40259781,2024-11-25T20:40:00Z,32,126,Estimation,Periodic
MTR-28917564,2024-11-25T20:40:00Z,32,68,Estimation,Periodic
MTR-67482310,2024-11-25T20:40:00Z,32,185,Estimation,Periodic
MTR-89541062,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-14752038,2024-11-25T20:40:00Z,32,151,Estimation,Periodic
MTR-59821740,2024-11-25T20:40:00Z,32,139,Estimation,Periodic
MTR-82143957,2024-11-25T20:40:00Z,32,0,Estimation,Periodic
MTR-37159820,2024-11-25T20:40:00Z,32,181,Estimation,Periodic
MTR-75208413,2024-11-25T20:40:00Z,32,221,Estimation,Periodic
MTR-91730284,2024-11-25T20:40:00Z,32,122,Estimation,Periodic
MTR-40865197,2024-11-25T20:40:00Z,32,162,Estimation,Periodic
MTR-26791054,2024-11-25T20:40:00Z,32,91,Estimation,Periodic
MTR-64178209,2024-11-25T20:40:00Z,32,104,Estimation,Periodic
MTR-85914027,2024-11-25T20:40:00Z,32,132,Estimation,Periodic
MTR-13472958,2024-11-25T20:40:00Z,32,92,Estimation,Periodic
MTR-50761984,2024-11-25T20:40:00Z,32,139,Estimation,Periodic
MTR-78206451,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-36409257,2024-11-25T20:40:00Z,32,92,Estimation,Periodic
MTR-69582140,2024-11-25T20:40:00Z,32,114,Estimation,Periodic
MTR-93647102,2024-11-25T20:40:00Z,32,133,Estimation,Periodic
MTR-52680471,2024-11-25T20:40:00Z,32,121,Estimation,Periodic
MTR-76398142,2024-11-25T20:40:00Z,32,113,Estimation,Periodic
MTR-41352897,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-29570846,2024-11-25T20:40:00Z,32,137,Estimation,Periodic
MTR-67243980,2024-11-25T20:40:00Z,32,102,Estimation,Periodic
MTR-89821034,2024-11-25T20:40:00Z,32,116,Estimation,Periodic
MTR-15087324,2024-11-25T20:40:00Z,32,119,Estimation,Periodic
MTR-59902871,2024-11-25T20:40:00Z,32,196,Estimation,Periodic
MTR-82617049,2024-11-25T20:40:00Z,32,122,Estimation,Periodic
MTR-38759240,2024-11-25T20:40:00Z,32,120,Estimation,Periodic
MTR-74890316,2024-11-25T20:40:00Z,32,160,Estimation,Periodic
MTR-91487052,2024-11-25T20:40:00Z,32,110,Estimation,Periodic
MTR-41058672,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-27946310,2024-11-25T20:40:00Z,32,161,Estimation,Periodic
MTR-63945782,2024-11-25T20:40:00Z,32,183,Estimation,Periodic
MTR-85271309,2024-11-25T20:40:00Z,32,92,Estimation,Periodic
MTR-14195720,2024-11-25T20:40:00Z,32,15,Estimation,Periodic
MTR-50372896,2024-11-25T20:40:00Z,32,159,Estimation,Periodic
MTR-78906421,2024-11-25T20:40:00Z,32,90,Estimation,Periodic
MTR-36049278,2024-11-25T20:40:00Z,32,84,Estimation,Periodic
MTR-69247501,2024-11-25T20:40:00Z,34,151,Estimation,Periodic
MTR-93480256,2024-11-25T20:40:00Z,32,192,Estimation,Periodic
MTR-48392015,2024-11-25T20:40:00Z,32,189,Estimation,Periodic
MTR-72910486,2024-11-25T20:40:00Z,32,218,Estimation,Periodic
MTR-05821937,2024-11-25T20:40:00Z,32,94,Estimation,Periodic
MTR-93487520,2024-11-25T20:40:00Z,32,148,Estimation,Periodic
MTR-67213049,2024-11-25T20:40:00Z,29,146,Estimation,Periodic
MTR-14829375,2024-11-25T20:40:00Z,32,136,Estimation,Periodic
MTR-59038421,2024-11-25T20:40:00Z,32,79,Estimation,Periodic
MTR-80312754,2024-11-25T20:40:00Z,33,146,Estimation,Periodic
MTR-41786293,2024-11-25T20:40:00Z,32,147,Estimation,Periodic
MTR-29670348,2024-11-25T20:40:00Z,32,200,Estimation,Periodic
MTR-85172940,2024-11-25T20:40:00Z,32,203,Estimation,Periodic
MTR-03498217,2024-11-25T20:40:00Z,32,155,Estimation,Periodic
MTR-12049837,2024-11-25T20:41:00Z,32,144,Estimation,Periodic
MTR-98721045,2024-11-25T20:41:00Z,32,242,Estimation,Periodic
MTR-56301948,2024-11-25T20:41:00Z,32,86,Estimation,Periodic
MTR-20493758,2024-11-25T20:40:00Z,32,108,Estimation,Periodic
MTR-75904281,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-31862974,2024-11-25T20:40:00Z,32,154,Estimation,Periodic
MTR-64271039,2024-11-25T20:40:00Z,32,74,Estimation,Periodic
MTR-87520491,2024-11-25T20:40:00Z,32,112,Estimation,Periodic
MTR-10958324,2024-11-25T20:40:00Z,32,87,Estimation,Periodic
MTR-50672839,2024-11-25T20:40:00Z,32,68,Estimation,Periodic
MTR-78245190,2024-11-25T20:40:00Z,32,348,Estimation,Periodic
MTR-43981275,2024-11-25T20:40:00Z,32,89,Estimation,Periodic
MTR-26039841,2024-11-25T20:40:00Z,32,104,Estimation,Periodic
MTR-59840712,2024-11-25T20:40:00Z,32,161,Estimation,Periodic
MTR-84723109,2024-11-25T20:40:00Z,32,141,Estimation,Periodic
MTR-32178490,2024-11-25T20:40:00Z,32,179,Estimation,Periodic
MTR-96502814,2024-11-25T20:40:00Z,32,80,Estimation,Periodic
MTR-70391642,2024-11-25T20:40:00Z,32,126,Estimation,Periodic
MTR-85624079,2024-11-25T20:40:00Z,33,89,Estimation,Periodic
MTR-41258793,2024-11-25T20:40:00Z,33,233,Estimation,Periodic
MTR-24783056,2024-11-25T20:40:00Z,33,80,Estimation,Periodic
MTR-67190248,2024-11-25T20:40:00Z,33,227,Estimation,Periodic
MTR-93415620,2024-11-25T20:40:00Z,33,160,Estimation,Periodic
MTR-58290347,2024-11-25T20:40:00Z,32,159,Estimation,Periodic
MTR-79610423,2024-11-25T20:40:00Z,32,213,Estimation,Periodic
MTR-40857219,2024-11-25T20:40:00Z,33,191,Estimation,Periodic
MTR-23587091,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-69021375,2024-11-25T20:40:00Z,33,135,Estimation,Periodic
MTR-84351026,2024-11-25T20:40:00Z,32,121,Estimation,Periodic
MTR-12759480,2024-11-25T20:40:00Z,33,2352,Estimation,Periodic
MTR-51980734,2024-11-25T20:40:00Z,33,124,Estimation,Periodic
MTR-78426310,2024-11-25T20:40:00Z,33,2330,Estimation,Periodic
MTR-35019248,2024-11-25T20:40:00Z,33,94,Estimation,Periodic
MTR-69847521,2024-11-25T20:40:00Z,32,4117,Estimation,Periodic
MTR-90218357,2024-11-25T20:40:00Z,32,710,Estimation,Periodic
MTR-43672801,2024-11-25T20:40:00Z,33,1950,Estimation,Periodic
MTR-21894035,2024-11-25T20:40:00Z,32,127,Estimation,Periodic
MTR-57381492,2024-11-25T20:40:00Z,32,100,Estimation,Periodic
MTR-80462971,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-35280719,2024-11-25T20:40:00Z,32,155,Estimation,Periodic
MTR-69014827,2024-11-25T20:40:00Z,32,118,Estimation,Periodic
MTR-94750281,2024-11-25T20:40:00Z,32,98,Estimation,Periodic
MTR-12846905,2024-11-25T20:40:00Z,32,66,Estimation,Periodic
MTR-58024791,2024-11-25T20:40:00Z,32,92,Estimation,Periodic
MTR-73190584,2024-11-25T20:40:00Z,32,126,Estimation,Periodic
MTR-40659217,2024-11-25T20:40:00Z,32,117,Estimation,Periodic
MTR-26918470,2024-11-25T20:40:00Z,32,121,Estimation,Periodic
MTR-86749201,2024-11-25T20:40:00Z,32,82,Estimation,Periodic
MTR-14530297,2024-11-25T20:40:00Z,32,118,Estimation,Periodic
MTR-59478310,2024-11-25T20:40:00Z,32,74,Estimation,Periodic
MTR-87320541,2024-11-25T20:40:00Z,32,132,Estimation,Periodic
MTR-32891745,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-76018432,2024-11-25T20:40:00Z,32,78,Estimation,Periodic
MTR-91587024,2024-11-25T20:40:00Z,32,152,Estimation,Periodic
MTR-40731682,2024-11-25T20:40:00Z,32,128,Estimation,Periodic
MTR-25406791,2024-11-25T20:40:00Z,32,99,Estimation,Periodic
MTR-63059821,2024-11-25T20:40:00Z,32,170,Estimation,Periodic
MTR-84279153,2024-11-25T20:40:00Z,32,146,Estimation,Periodic
MTR-13850742,2024-11-25T20:40:00Z,32,143,Estimation,Periodic
MTR-50268197,2024-11-25T20:40:00Z,32,188,Estimation,Periodic
MTR-78405126,2024-11-25T20:40:00Z,32,137,Estimation,Periodic
MTR-36912548,2024-11-25T20:40:00Z,32,105,Estimation,Periodic
MTR-69028743,2024-11-25T20:40:00Z,32,169,Estimation,Periodic
MTR-93045187,2024-11-25T20:40:00Z,32,117,Estimation,Periodic
MTR-51739286,2024-11-25T20:40:00Z,32,156,Estimation,Periodic
MTR-76204813,2024-11-25T20:40:00Z,32,199,Estimation,Periodic
MTR-40597821,2024-11-25T20:40:00Z,32,128,Estimation,Periodic
MTR-28461359,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-67820341,2024-11-25T20:40:00Z,32,157,Estimation,Periodic
MTR-89457012,2024-11-25T20:40:00Z,32,114,Estimation,Periodic
MTR-14629857,2024-11-25T20:40:00Z,32,217,Estimation,Periodic
MTR-59187420,2024-11-25T20:40:00Z,32,165,Estimation,Periodic
MTR-82346109,2024-11-25T20:40:00Z,32,146,Estimation,Periodic
MTR-37954026,2024-11-25T20:40:00Z,32,71,Estimation,Periodic
MTR-74508361,2024-11-25T20:40:00Z,32,193,Estimation,Periodic
MTR-91872540,2024-11-25T20:40:00Z,32,168,Estimation,Periodic
MTR-40687213,2024-11-25T20:40:00Z,32,126,Estimation,Periodic
MTR-27401695,2024-11-25T20:40:00Z,32,129,Estimation,Periodic
MTR-63847920,2024-11-25T20:40:00Z,32,122,Estimation,Periodic
MTR-85712093,2024-11-25T20:40:00Z,32,137,Estimation,Periodic
MTR-13950827,2024-11-25T20:40:00Z,32,124,Estimation,Periodic
MTR-52047968,2024-11-25T20:40:00Z,32,159,Estimation,Periodic
MTR-79302541,2024-11-25T20:40:00Z,32,187,Estimation,Periodic
MTR-35264087,2024-11-25T20:40:00Z,32,183,Estimation,Periodic
MTR-68094152,2024-11-25T20:40:00Z,32,105,Estimation,Periodic
MTR-93021587,2024-11-25T20:40:00Z,32,161,Estimation,Periodic
MTR-51486327,2024-11-25T20:40:00Z,32,131,Estimation,Periodic
MTR-76845210,2024-11-25T20:40:00Z,32,98,Estimation,Periodic
MTR-40259781,2024-11-25T20:40:00Z,32,207,Estimation,Periodic
MTR-28917564,2024-11-25T20:40:00Z,32,141,Estimation,Periodic
MTR-67482310,2024-11-25T20:40:00Z,32,90,Estimation,Periodic
MTR-89541062,2024-11-25T20:40:00Z,32,84,Estimation,Periodic
MTR-14752038,2024-11-25T20:40:00Z,32,161,Estimation,Periodic
MTR-59821740,2024-11-25T20:40:00Z,32,165,Estimation,Periodic
MTR-82143957,2024-11-25T20:40:00Z,32,94,Estimation,Periodic
MTR-37159820,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-75208413,2024-11-25T20:40:00Z,32,110,Estimation,Periodic
MTR-91730284,2024-11-25T20:40:00Z,32,108,Estimation,Periodic
MTR-40865197,2024-11-25T20:40:00Z,32,107,Estimation,Periodic
MTR-26791054,2024-11-25T20:40:00Z,32,96,Estimation,Periodic
MTR-64178209,2024-11-25T20:40:00Z,32,107,Estimation,Periodic
MTR-85914027,2024-11-25T20:40:00Z,32,202,Estimation,Periodic
MTR-13472958,2024-11-25T20:40:00Z,32,107,Estimation,Periodic
MTR-50761984,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-78206451,2024-11-25T20:40:00Z,32,113,Estimation,Periodic
MTR-36409257,2024-11-25T20:40:00Z,32,72,Estimation,Periodic
MTR-69582140,2024-11-25T20:40:00Z,32,81,Estimation,Periodic
MTR-93647102,2024-11-25T20:40:00Z,32,217,Estimation,Periodic
MTR-52680471,2024-11-25T20:40:00Z,32,149,Estimation,Periodic
MTR-76398142,2024-11-25T20:40:00Z,32,136,Estimation,Periodic
MTR-41352897,2024-11-25T20:40:00Z,32,106,Estimation,Periodic
MTR-29570846,2024-11-25T20:40:00Z,32,115,Estimation,Periodic
MTR-67243980,2024-11-25T20:40:00Z,32,107,Estimation,Periodic
MTR-89821034,2024-11-25T20:41:00Z,32,73,Estimation,Periodic
MTR-15087324,2024-11-25T20:41:00Z,32,122,Estimation,Periodic
MTR-59902871,2024-11-25T20:40:00Z,32,121,Estimation,Periodic
MTR-82617049,2024-11-25T20:40:00Z,32,116,Estimation,Periodic
MTR-38759240,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-74890316,2024-11-25T20:40:00Z,32,129,Estimation,Periodic
MTR-91487052,2024-11-25T20:40:00Z,33,149,Estimation,Periodic
MTR-41058672,2024-11-25T20:40:00Z,32,125,Estimation,Periodic
MTR-27946310,2024-11-25T20:40:00Z,32,160,Estimation,Periodic
MTR-63945782,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-85271309,2024-11-25T20:40:00Z,32,129,Estimation,Periodic
MTR-14195720,2024-11-25T20:40:00Z,32,122,Estimation,Periodic
MTR-50372896,2024-11-25T20:40:00Z,32,76,Estimation,Periodic
MTR-78906421,2024-11-25T20:40:00Z,32,119,Estimation,Periodic
MTR-36049278,2024-11-25T20:40:00Z,32,75,Estimation,Periodic
MTR-69247501,2024-11-25T20:40:00Z,32,135,Estimation,Periodic
MTR-93480256,2024-11-25T20:40:00Z,32,117,Estimation,Periodic
MTR-48392015,2024-11-25T20:40:00Z,32,170,Estimation,Periodic
MTR-72910486,2024-11-25T20:40:00Z,32,124,Estimation,Periodic
MTR-05821937,2024-11-25T20:40:00Z,32,54,Estimation,Periodic
MTR-93487520,2024-11-25T20:40:00Z,32,106,Estimation,Periodic
MTR-67213049,2024-11-25T20:40:00Z,32,73,Estimation,Periodic
MTR-14829375,2024-11-25T20:40:00Z,32,82,Estimation,Periodic
MTR-59038421,2024-11-25T20:40:00Z,32,74,Estimation,Periodic
MTR-80312754,2024-11-25T20:40:00Z,32,47,Estimation,Periodic
MTR-41786293,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-29670348,2024-11-25T20:40:00Z,32,123,Estimation,Periodic
MTR-85172940,2024-11-25T20:40:00Z,32,52,Estimation,Periodic
MTR-03498217,2024-11-25T20:40:00Z,32,78,Estimation,Periodic
MTR-12049837,2024-11-25T20:40:00Z,32,37,Estimation,Periodic
MTR-98721045,2024-11-25T20:40:00Z,32,111,Estimation,Periodic
MTR-56301948,2024-11-25T20:40:00Z,32,70,Estimation,Periodic
MTR-20493758,2024-11-25T20:40:00Z,32,82,Estimation,Periodic
MTR-75904281,2024-11-25T20:40:00Z,32,90,Estimation,Periodic
MTR-31862974,2024-11-25T20:40:00Z,32,84,Estimation,Periodic
MTR-64271039,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-87520491,2024-11-25T20:40:00Z,32,106,Estimation,Periodic
MTR-10958324,2024-11-25T20:40:00Z,32,64,Estimation,Periodic
MTR-50672839,2024-11-25T20:40:00Z,32,114,Estimation,Periodic
MTR-78245190,2024-11-25T20:40:00Z,32,90,Estimation,Periodic
MTR-43981275,2024-11-25T20:40:00Z,32,83,Estimation,Periodic
MTR-26039841,2024-11-25T20:40:00Z,32,109,Estimation,Periodic
MTR-59840712,2024-11-25T20:40:00Z,32,162,Estimation,Periodic
MTR-84723109,2024-11-25T20:40:00Z,32,81,Estimation,Periodic
MTR-32178490,2024-11-25T20:40:00Z,32,170,Estimation,Periodic
MTR-96502814,2024-11-25T20:40:00Z,32,186,Estimation,Periodic
MTR-70391642,2024-11-25T20:40:00Z,32,139,Estimation,Periodic
MTR-85624079,2024-11-25T20:40:00Z,32,144,Estimation,Periodic
MTR-41258793,2024-11-25T20:40:00Z,32,114,Estimation,Periodic
MTR-24783056,2024-11-25T20:40:00Z,32,228,Estimation,Periodic
MTR-67190248,2024-11-25T20:40:00Z,32,140,Estimation,Periodic
MTR-93415620,2024-11-25T20:40:00Z,32,112,Estimation,Periodic
MTR-58290347,2024-11-25T20:40:00Z,32,137,Estimation,Periodic
MTR-79610423,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-40857219,2024-11-25T20:40:00Z,32,180,Estimation,Periodic
MTR-23587091,2024-11-25T20:40:00Z,32,154,Estimation,Periodic
MTR-69021375,2024-11-25T20:40:00Z,32,145,Estimation,Periodic
MTR-84351026,2024-11-25T20:40:00Z,32,156,Estimation,Periodic
MTR-12759480,2024-11-25T20:40:00Z,32,134,Estimation,Periodic
MTR-51980734,2024-11-25T20:40:00Z,32,68,Estimation,Periodic
MTR-78426310,2024-11-25T20:40:00Z,32,144,Estimation,Periodic
MTR-35019248,2024-11-25T20:40:00Z,32,142,Estimation,Periodic
MTR-69847521,2024-11-25T20:40:00Z,32,164,Estimation,Periodic
MTR-90218357,2024-11-25T20:40:00Z,32,143,Estimation,Periodic
MTR-43672801,2024-11-25T20:40:00Z,32,104,Estimation,Periodic
MTR-21894035,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-57381492,2024-11-25T20:40:00Z,32,106,Estimation,Periodic
MTR-80462971,2024-11-25T20:40:00Z,32,126,Estimation,Periodic
MTR-35280719,2024-11-25T20:40:00Z,32,100,Estimation,Periodic
MTR-69014827,2024-11-25T20:40:00Z,32,111,Estimation,Periodic
MTR-94750281,2024-11-25T20:41:00Z,32,173,Estimation,Periodic
MTR-12846905,2024-11-25T20:41:00Z,32,151,Estimation,Periodic
MTR-58024791,2024-11-25T20:41:00Z,32,156,Estimation,Periodic
MTR-73190584,2024-11-25T20:41:00Z,32,138,Estimation,Periodic
MTR-40659217,2024-11-25T20:41:00Z,32,147,Estimation,Periodic
MTR-26918470,2024-11-25T20:41:00Z,32,160,Estimation,Periodic
MTR-86749201,2024-11-25T20:40:00Z,32,103,Estimation,Periodic
MTR-14530297,2024-11-25T20:40:00Z,32,99,Estimation,Periodic
MTR-59478310,2024-11-25T20:40:00Z,32,148,Estimation,Periodic
MTR-87320541,2024-11-25T20:40:00Z,32,179,Estimation,Periodic
MTR-32891745,2024-11-25T20:40:00Z,32,160,Estimation,Periodic
MTR-76018432,2024-11-25T20:40:00Z,32,80,Estimation,Periodic
MTR-91587024,2024-11-25T20:40:00Z,32,118,Estimation,Periodic
MTR-40731682,2024-11-25T20:40:00Z,32,99,Estimation,Periodic
MTR-25406791,2024-11-25T20:40:00Z,32,138,Estimation,Periodic
MTR-63059821,2024-11-25T20:40:00Z,32,106,Estimation,Periodic
MTR-84279153,2024-11-25T20:40:00Z,32,166,Estimation,Periodic
MTR-13850742,2024-11-25T20:40:00Z,32,92,Estimation,Periodic
MTR-50268197,2024-11-25T20:40:00Z,32,136,Estimation,Periodic
MTR-78405126,2024-11-25T20:40:00Z,32,59,Estimation,Periodic
MTR-36912548,2024-11-25T20:40:00Z,32,93,Estimation,Periodic
MTR-69028743,2024-11-25T20:40:00Z,32,142,Estimation,Periodic
MTR-93045187,2024-11-25T20:40:00Z,32,96,Estimation,Periodic
MTR-51739286,2024-11-25T20:40:00Z,32,110,Estimation,Periodic
MTR-76204813,2024-11-25T20:40:00Z,32,166,Estimation,Periodic
MTR-40597821,2024-11-25T20:40:00Z,32,88,Estimation,Periodic
MTR-28461359,2024-11-25T20:40:00Z,32,145,Estimation,Periodic
MTR-67820341,2024-11-25T20:40:00Z,32,141,Estimation,Periodic
MTR-89457012,2024-11-25T20:40:00Z,32,141,Estimation,Periodic
MTR-14629857,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-59187420,2024-11-25T20:40:00Z,32,114,Estimation,Periodic
MTR-82346109,2024-11-25T20:40:00Z,32,132,Estimation,Periodic
MTR-37954026,2024-11-25T20:40:00Z,32,71,Estimation,Periodic
MTR-74508361,2024-11-25T20:40:00Z,32,130,Estimation,Periodic
MTR-91872540,2024-11-25T20:40:00Z,32,157,Estimation,Periodic
MTR-40687213,2024-11-25T20:40:00Z,32,299,Estimation,Periodic
MTR-27401695,2024-11-25T20:40:00Z,32,155,Estimation,Periodic
MTR-63847920,2024-11-25T20:40:00Z,32,24,Estimation,Periodic
MTR-85712093,2024-11-25T20:40:00Z,32,91,Estimation,Periodic
MTR-13950827,2024-11-25T20:40:00Z,32,122,Estimation,Periodic
MTR-52047968,2024-11-25T20:40:00Z,32,74,Estimation,Periodic
